title|last_update|item_no|patron_no|pickup_location|item_barcode|hold_id
Tell me lies : a novel|09-20-2022|i2338918a|p1000051a|3480a|33052016876247|6385602
Cyclorama :  novel|09-20-2022|i2460833a|p1002085a|1main|33052016766877|6402418
The summer place : a novel|09-20-2022|i2451726a|p1002085a|1main|33052016732762|6401344
The art of French pastry|09-22-2022|i2124425a|p1002307a|1main|33052013798360|6405103
Raising animals for fiber : producing wool from sheep, goats, alpacas, and rabbits in your backyard|09-22-2022|i2354595a|p1002307a|1main|33052015537469|6405058
Storey's guide to raising rabbits|09-22-2022|i2416347a|p1002307a|1main|33052016472963|6405092
Pastry school : 100 step-by-step recipes|09-22-2022|i2327876a|p1002307a|1main|33052015466347|6405101
The brain's way of healing : remarkable discoveries and recoveries from the frontiers of neuroplasticity|09-22-2022|i2156182a|p1002384a|2hrmy|33052013417524|6402111
Somewhere safe with somebody good|09-22-2022|i2120111a|p1002549a|2hrmy|33052013780392|6404527
I guess I haven't learned that yet : discovering new ways of living when the old ways stop working|09-16-2022|i2443251a|p1002563a|2hrmy|33052016785158|6394912
Menupause : five unique eating plans to break through your weight loss plateau and improve mood, sleep, and hot flashes|09-22-2022|i2444182a|p1002563a|2hrmy|33052016790901|6407350
The keeper of lost things : a novel|09-21-2022|i2460463a|p1002563a|2hrmy|33052016764906|6404545
The book woman's daughter : a novel|09-21-2022|i2449513a|p1002825a|2hrmy|33052016818850|6402881
Swim : why we love the water / Lynn Sherr.|09-21-2022|i3058551a|p1002906a|1main|330600095880009lmnt|6393591
Book lovers|09-22-2022|i2451760a|p1003108a|1main|33052016734644|6404476
Daisy Darker|09-17-2022|i2462425a|p1003504a|1main|33052016682355|6397095
Making space, clutter free : the last book on decluttering you'll ever need|09-16-2022|i2342380a|p1003701a|1main|33052016891139|6394374
The pioneer woman cooks : come and get it! : simple, scrumptious recipes for crazy busy lives|09-18-2022|i2428032a|p1003885a|2hrmy|33052016248074|6399221
Black tide|09-17-2022|i2450246a|p1004026a|2hrmy|33052016727077|6398695
This train|09-20-2022|i2448147a|p1004026a|2hrmy|33052016811194|6400962
The pallbearers club : a novel|09-18-2022|i2455471a|p1004026a|2hrmy|33052016747190|6398690
Carrie Soto is back : a novel|09-21-2022|i2462859a|p1004089a|1main|33052016717797|6403231
The marriage portrait|09-19-2022|i2461747a|p1004089a|1main|33052016681472|6399578
Medical reiki : a groundbreaking approach to using energy medicine for challenging treatments|09-22-2022|i2426296a|p1004136a|2hrmy|33052016917249|6407351
The super easy vegan slow cooker cookbook : 100+ easy, healthy recipes that are ready when you are / Toni Okamoto.|09-21-2022|i2669887a|p1004136a|2hrmy|334550248168919hpld|6394360
Apple farmer Annie|09-20-2022|i2177559a|p1004692a|2hrmy|33052014230884|6400832
Any other family|09-19-2022|i2457085a|p1004726a|3ct|33052016754931|6399836
Running and returning : seeking balance in an imperfect world / by Vicki Ash Hunter, Ph.D.|09-21-2022|i4704727a|p1004928a|1main|R00945001499bldr|6374752
