patron_no|item_barcode|title|due_date|item_no|money_owed|loan_rule|item_holds|bib_holds|renewals|bib_no|checkout_id
p1000018a|33052011117910|The love bug [DVD]|09-12-2022|i2075682a|0.00|24||1|0|b1413332a|15180919
p1000082a|33052097772570|Animal, vegetable, miracle [sound recording] : [a year of food life]|09-06-2022|i1686991a|0.00|25|||0|b1402795a|15032757
p1000084a|33052015066014|Good morning, midnight : a novel|08-23-2022|i2237770a|0.00|25|||0|b1779008a|14984861
p1000089a|33052012138394|Quantum mechanics demystified|08-30-2022|i2097684a|0.00|25|||0|b1585551a|15005764
p1000089a|33052016578488|Killing the mob : the fight against organized crime in America|09-11-2022|i2408569a|0.00|25|||0|b1967088a|15048585
p1000089a|33052016880108|Children of ruin|09-10-2022|i2339010a|0.00|25|||0|b1893940a|15046285
p1000100a|33052016817217|Strong|08-30-2022|i2448299a|0.00|25|||0|b2011904a|15005726
p1000129a|33052015866561|Treasure planet|09-06-2022|i2249504a|0.00|24|||0|b1762619a|15157792
p1000202a|33052015781653|A private cathedral [large print]|08-30-2022|i2384309a|0.00|25|||0|b1945329a|15005880
p1000204a|33052012130490|Dreams of gods & monsters|08-30-2022|i2095183a|0.00|25|||0|b1612375a|15005771
p1000204a|33052012858009|Quilled animals|08-30-2022|i2150272a|0.00|25|||0|b1677271a|15005736
p1000205a|33052010967323|The undaunted garden : planting for weather-resilient beauty|09-01-2022|i1949977a|0.00|25|||0|b1495866a|15015060
p1000205a|33052012700706|The education of millionaires : it's not what you think and it's not too late|08-27-2022|i1986693a|0.00|25||1|0|b1508887a|14998487
p1000216a|33052016120356|Memoirs and misinformation : a novel|08-24-2022|i2381699a|0.00|25|||0|b1927390a|14988987
p1000648a|33052016571657|Sensitive is the new strong : the power of empaths in an increasingly harsh world|09-05-2022|i2407259a|0.00|25||1|0|b1972083a|15028454
p1000711a|33052016517163|Dog flowers : a memoir|08-30-2022|i2396354a|0.00|25|||0|b1954468a|15028472
p1001557a|33052010403964|Change your brain, change your body [sound recording] : [use your brain to get and keep the body you have always wanted]|09-13-2022|i2133086a|0.00|4||1|5|b1463944a|14837844
p1001888a|33052014495339|A life in parts|09-06-2022|i2224063a|0.00|25|||0|b1762121a|15032592
