patron_no|item_barcode|title|due_date|item_no|money_owed|loan_rule|item_holds|bib_holds|renewals|bib_no|checkout_id
p1000089a|33052014698809|Moonlighting on the Internet : make an extra $1000 per month in just 5-10 hours per week|09-19-2022|i2196889a|0.00|25|||0|b1725822a|15076984
p1000089a|33052014996922|The warded man|09-18-2022|i2270579a|0.00|25|||0|b1804561a|15072794
p1000089a|33052015453162|The reckoning|09-18-2022|i2323350a|0.00|25|||0|b1849606a|15072774
p1000089a|33052016067904|American Indian trickster tales|09-18-2022|i2338260a|0.00|25||1|0|b1894284a|15072752
p1000110a|33052010606376|Tongues of serpents|09-19-2022|i1905188a|0.00|25|||0|b1469769a|15077093
p1001767a|33052016186910|Lonely Planet's wonders of the world : 101 great sights and how to see them on any budget|09-18-2022|i2361632a|0.00|4||1|0|b1920200a|15190045
p1002360a|330600092043769lmnt|Mel Bay's basic dulcimer solos / [arranged] by Mara Washburn.|09-18-2022|i3207475a|0.00|22|||2|b3207475a|15123983
p1002360a|330600113435929lmnt|20 Irish tunes and songs for mountain dulcimer, DAD tuning / [collected] by Madeline MacNeil.|09-18-2022|i4393486a|0.00|22|||2|b4393486a|15123984
p1002360a|R04025617899mdel|Dulcimer : DAD tuning / by Joyce Ochs.|09-18-2022|i1873423a|0.00|22|||2|b1873423a|15123985
p1002769a|33052011361781|In the Heights [DVD]|09-19-2022|i2419953a|0.00|18||1|0|b1990016a|15237320
p1002769a|33052011365063|Stillwater [DVD]|09-19-2022|i2428210a|0.00|18||1|0|b1997061a|15237317
p1002769a|33052011367432|No time to die [DVD]|09-19-2022|i2433145a|0.00|18||2|0|b1999659a|15237322
p1002769a|33052011370063|Marvel's Eternals [DVD] / Marvel Studios presents ; produced by Kevin Feige, Nate Moore ; screen story by Ryan Firpo & Kaz Firpo ; screenplay by Chloé Zhao and Patrick Burleigh and Ryan Firpo & Kaz Firpo ; directed by Chloé Zhao.|09-19-2022|i2437789a|0.00|18||1|0|b2005856a|15237319
p1003504a|33052016752323|The murder book|09-19-2022|i2456505a|0.00|4|||0|b2009505a|15191983
p1003504a|33052016760730|The family remains : a novel|09-19-2022|i2458973a|0.00|4||28|0|b2012067a|15191982
p1003885a|33052012578516|Lipsmackin' car campin' : easy and delicious recipes for campground cooking|09-19-2022|i2055589a|0.00|4|||0|b1547195a|15192482
p1003885a|33052015896246|Boho braids : 40 modern, free-spirited hairstyles|09-19-2022|i2246471a|0.00|4|||0|b1785649a|15192481
p1004481a|33052015634597|Sink or swim|09-18-2022|i2279436a|0.00|53|||0|b1812330a|15188032
p1004830a|33052012405546|Spanish (Latin American) [sound recording] : The short course.|09-18-2022|i1968337a|0.00|4|||1|b1257667a|15119071
p1004830a|33052015470927|The longevity paradox [large print] : how to die young at a ripe old age|09-18-2022|i2328920a|0.00|4|||1|b1885809a|15119069
p1004830a|33052016949267|How not to die : discover the foods scientifically proven to prevent and reverse disease|09-18-2022|i2421934a|0.00|4||1|1|b1700946a|15119070
p1005033a|33052011358258|The father [DVD]|09-19-2022|i2409415a|0.00|3|||0|b1978418a|15236212
p1005033a|330600111996309lmnt|Farm from home : a year of stories, pictures, and recipes from a city girl in the country / Amanda Brooks ; with photographs by the author.|09-19-2022|i4346453a|0.00|22|||0|b4346453a|15190326
p1005054a|22144899619jcpp|Incontrol. [dvd]|09-19-2022|i5934620a|0.00|21|||0|b5934620a|15238099
p1005054a|22162578539jcpp|Crimes of the future / Neon presents with Serendipity Point Films, Telefilm Canada, Ingenious Media ; a Canada-Hellenic Republic co-production ; produced in association with Argonauts Productions S.A., Crave, CBC Films, ERT, Rocket Science ; a Robert Lant|09-19-2022|i7051659a|0.00|21|||0|b7051659a|15238100
p1005097a|33052016746838|Hatchet Island / Paul Doiron.|09-19-2022|i2455190a|0.00|4||1|0|b2007793a|15191126
p1005289a|33052016158281|The Hanged Man|09-19-2022|i2357640a|0.00|4||1|0|b1848990a|15192321
p1005384a|33052013614930|Greenglass House|09-19-2022|i2125104a|0.00|53|||0|b1618161a|15192055
p1005384a|33052016450324|Green glass ghosts|09-19-2022|i2412415a|0.00|53|||0|b1977764a|15192054
p1006956a|33052011283407|Flicka [DVD]|09-18-2022|i2285480a|0.00|50||1|0|b1391522a|15235991
p1006956a|33052011377076|A father's fight [DVD]|09-18-2022|i2455857a|0.00|3|||0|b2023281a|15235990
p1007124a|33052011373414|Licorice pizza [DVD]|09-19-2022|i2447168a|0.00|3||1|0|b2014646a|15238904
p1007124a|33052011373711|Dog [DVD]|09-19-2022|i2447143a|0.00|3|||0|b2014644a|15238905
p1007266a|33052015473111|Mayo Clinic guide to raising a healthy child  : ages 3 -11|09-18-2022|i2330108a|0.00|4|||2|b1882789a|15054917
p1007444a|33052016107254|See no stranger : a memoir and manifesto of revolutionary love|09-19-2022|i2378369a|0.00|4|||0|b1935443a|15193564
p1007683a|33052013913100|The mad sculptor : the maniac, the model, and the murder that shook the nation|09-18-2022|i2099912a|0.00|4|||1|b1610729a|15133215
p1008073a|33052011248699|The dressmaker|09-19-2022|i2231683a|0.00|3|||0|b1776594a|15237447
p1008073a|33052011314632|Ben is back [DVD]|09-19-2022|i2324799a|0.00|3|||0|b1883298a|15237445
p1008073a|33052011355122|Des [DVD]|09-19-2022|i2403250a|0.00|3|||0|b1967934a|15237444
p1008170a|33052015123245|Dirty genes : a breakthrough program to treat the root cause of illness and optimize your health|09-19-2022|i2282074a|0.00|4|||0|b1806765a|15190268
p1009000a|33052016225361|Queen's peril|09-18-2022|i2375422a|0.00|53|||3|b1930562a|14986680
p1009343a|33052016769467|Properties of thirst : a novel|09-19-2022|i2458516a|0.00|4||13|0|b2014977a|15193694
p1009343a|33052094248681|The measure of her powers : an M.F.K. Fisher reader|09-18-2022|i1259428a|0.00|4||1|1|b1151813a|15113507
p1009688a|33052016952915|Over and under the canyon|09-19-2022|i2420750a|0.00|53|||0|b1987635a|15192857
p1009688a|33052097017919|Hattie and the fox|09-18-2022|i1629893a|0.00|53|||1|b1375828a|15129959
p1010622a|33052013516606|My brilliant friend : childhood, adolescence|09-19-2022|i2187028a|0.00|4|||1|b1630515a|15126347
p1011207a|33052010950261|More Holmes for the holidays|09-18-2022|i1938851a|0.00|4|||0|b1203872a|15189344
p1012016a|33052015447420|The writer's practice : building confidence in your nonfiction writing|09-19-2022|i2321944a|0.00|25|||0|b1859525a|15077133
p1012298a|11579697579jcpp|'70s soul [sound recording].|09-18-2022|i6178264a|0.00|21|||0|b6178264a|15235915
p1012298a|22140817509jcpp|Live killers [sound recording] / Queen.|09-18-2022|i5757843a|0.00|21|||0|b5757843a|15235910
p1012298a|33052011376748|Surviving sex trafficking [DVD] / Siddhayatan Tirth presents ; a Stopping Traffic Productions ; a Sadhvi Siddhali Shree film ; produced by Sadhvi Siddhali Shree and Sadhvi Anubhuti ; directed by Sadhvi Siddhali Shree.|09-18-2022|i2454257a|0.00|3|||2|b2021251a|15197021
p1012298a|330600104668169lmnt|Generation A [dvd] : portraits of autism and the arts / Autism Movement Therapy & Goldstreet Pictures Production.|09-18-2022|i3265822a|0.00|21|||0|b3265822a|15235911
p1012298a|U1830457446659cubp|First person. The complete series [videorecording] / Bravo and IFC present a Globe Department Store/Scout production ; produced by Michael Williams, David Collins, Dorothy Aufiero ; directed by Errol Morris|09-18-2022|i5399306a|0.00|21|||0|b5399306a|15235850
p1013565a|33052013412566|DIY wardrobe makeovers : alter, refresh & refashion your clothes : step-by-step sewing tutorials|09-18-2022|i2155115a|0.00|4|||0|b1678675a|15189167
p1013565a|33052014467924|The complete photo guide to perfect fitting|09-18-2022|i2216561a|0.00|4|||0|b1755332a|15189168
p1013565a|33052016472252|I had ten hats|09-19-2022|i2416476a|0.00|53|||2|b1982019a|15004985
p1013565a|33052016827679|Taunton's threads.|09-18-2022|i2444238a|0.00|4|||0|b1210032a|15189087
p1013800a|10900105574079mmpp|When the apricots bloom / Gina Wilkinson.|09-18-2022|i14262559a|0.00|22|||2|b14262559a|15133462
p1014793a|33052016477343|Drawing on the dominant eye : decoding the way we perceive, create, and learn|09-19-2022|i2417745a|0.00|25|||0|b1984171a|15131243
p1016346a|33052016414353|The dark hours|09-18-2022|i2433362a|0.00|4||2|6|b1985654a|14797859
p1017798a|33052011078815|Moonrise kingdom [DVD]|09-19-2022|i2024933a|0.00|3|||1|b1537905a|15213483
p1017798a|33052011102730|Cinema paradiso [DVD]|09-19-2022|i2053257a|0.00|3|||1|b1552080a|15213485
p1017798a|33052011259811|Avenir = Things to come|09-19-2022|i2248673a|0.00|3|||1|b1789669a|15213484
p1017798a|33052011353457|Death on the Nile [DVD]|09-19-2022|i2398962a|0.00|3|||1|b1947728a|15213482
p1017798a|33052011371814|C'mon c'mon [DVD]|09-19-2022|i2442784a|0.00|3|||2|b2011557a|15192034
p1017798a|33052016682967|Robert B. Parker's fallout|09-18-2022|i2461513a|0.00|18||5|0|b2015055a|15234074
p1017798a|33052097735072|Touch and go : a memoir|09-18-2022|i1679873a|0.00|4|||2|b1402092a|15050462
p1017969a|33052013406576|Disclaimer|09-18-2022|i2153404a|0.00|4|||2|b1675374a|15109825
p1017969a|33052014969937|In a dark, dark wood|09-18-2022|i2263122a|0.00|4|||2|b1690726a|15109823
p1017969a|33052015091780|Long black veil : a novel|09-18-2022|i2245755a|0.00|4|||2|b1779020a|15109830
p1017969a|33052015274477|The Guernsey Literary and Potato Peel Pie Society|09-18-2022|i2338505a|0.00|4|||2|b1418637a|15109829
p1017969a|33052015528526|The ten thousand doors of January|09-18-2022|i2345436a|0.00|4|||2|b1898987a|15109828
p1017969a|33052016464622|The therapist|09-18-2022|i2415924a|0.00|4|||2|b1972758a|15109827
p1018191a|33052011218619|In the heart of the sea [(videorecording]|09-19-2022|i2191872a|0.00|3|||0|b1713640a|15239816
p1018191a|33052011245950|Anthropoid [DVD]|09-19-2022|i2229713a|0.00|3|||0|b1769420a|15239814
p1018191a|33052011329077|Mary Magdalene|09-19-2022|i2348500a|0.00|3|||0|b1900348a|15239818
p1019363a|33052016514707|The cruelest month|09-18-2022|i2393654a|0.00|4|||0|b1407014a|15188263
p1020041a|33052014468013|Laurus|09-19-2022|i2216638a|0.00|25|||0|b1707328a|15089262
p1021099a|33052016528145|The Midnight Library|09-19-2022|i2395104a|0.00|4||8|0|b1935584a|15191177
p1022390a|33052014633830|The college scam : how America's universities are bankrupting and brainwashing away the future of America's youth|09-19-2022|i2455435a|0.00|4|2|2|0|b2018347a|15190482
p1023318a|330210277040299anyk|Fly fishing made easy [videorecording] / Produced by Largon Communications ; Digital Farm.|09-19-2022|i11128412a|0.00|22|||2|b11128412a|15113749
p1023318a|33052012758076|Fly fishing the seasons in Colorado : an essential guide for fishing through the winter, spring, summer, and fall|09-19-2022|i1992067a|0.00|4|||1|b1519552a|15113752
p1023318a|33052014685657|Backpack fly fishing : a back-to-basics approach|09-19-2022|i2193876a|0.00|4|||1|b1713355a|15113751
p1023318a|33052015519772|A thousand splendid suns|09-19-2022|i2343028a|0.00|4|||1|b1387061a|15113753
p1023318a|334550240112209hpld|Fly fishing [videorecording] : a beginner's guide / with Orvis endorsed guide Hunter Profitt.|09-19-2022|i1949886a|0.00|22|||2|b1949886a|15113750
p1024034a|33052015496237|All-American adventure|09-19-2022|i2336231a|0.00|53|||0|b1889610a|15193521
